Критерии оценки сайта 
№	Критерий	Балл
1	Содержание.																                        2
2	Структура сайта – иерархическая, не менее трех уровней.								            1   
3	Наличие таблиц, списков.														                1
4	Выполнение требований юзабилити: удобная навигация, академический дизайн.					    1
5	Список источников информации на отдельной странице.									            1
6	Наличие авторской страницы (рефлексия).											                1   
7	Обработанная графика (размер реальный, объем не более 100 Кб).							        1
8	Правильная файловая организация сайта.											                1
9	Соблюдение правил оформления кода (лесенка, теги прописными буквами, атрибуты – строчными).		1
10*	Дополнительные средства сайта с объяснением принципов работы.							        1
